ph,dissolved_oxygen,turbidity,conductivity,bod,nitrates,total_coliform,latitude,longitude,wqi
6.793,13.242,14.741,655.677,11.633,18.111,2.335,34.644,78.006,52.44
7.771,9.691,8.892,155.973,9.159,8.749,4.06,9.213,83.146,62.84
7.858,9.823,20.015,446.816,9.828,9.813,0.78,12.059,78.439,57.69
5.204,5.705,13.912,1471.008,0.877,18.556,3.95,19.435,68.465,41.91
6.686,8.718,20.666,914.575,5.88,10.468,0.321,13.031,84.311,55.62
7.816,1.132,15.823,1079.119,7.936,9.803,0.97,17.825,71.589,35.98
7.264,9.269,19.632,60.669,10.045,11.609,3.281,11.486,70.321,56.94
8.854,12.873,15.004,801.398,1.067,13.816,4.275,20.326,89.909,60.8
7.964,8.963,10.412,104.417,10.303,2.227,1.263,15.336,68.276,70.35
5.733,12.358,23.953,875.384,6.807,16.44,1.636,17.501,95.811,44.51
5.318,10.412,13.574,1385.118,2.769,8.767,2.686,10.546,82.942,56.16
7.891,2.567,15.167,1454.208,4.148,1.54,1.058,19.559,96.507,48.55
5.119,12.732,5.59,833.801,3.742,15.745,4.056,34.548,69.682,57.23
7.636,1.864,15.679,714.397,6.605,7.601,3.868,16.878,84.922,37.87
9.231,7.942,14.333,1420.275,1.094,2.097,0.726,31.664,78.13,63.33
7.59,2.848,4.702,1026.734,2.323,12.712,2.319,30.766,92.461,58.84
6.747,1.152,1.584,144.104,9.846,17.615,3.874,33.706,78.475,45.09
7.895,6.486,15.149,725.302,2.025,17.766,1.687,29.333,75.554,60.52
7.062,4.836,19.116,398.355,3.184,19.158,3.166,25.809,92.869,52.84
7.455,7.318,13.133,731.216,5.714,17.367,0.251,31.128,78.865,60.05
9.237,8.504,5.747,710.425,6.447,0.143,3.043,10.042,68.488,62.61
6.737,1.569,16.696,894.11,9.282,7.667,0.763,20.496,79.318,38.21
9.325,2.599,2.095,567.317,5.644,16.389,4.153,34.71,86.981,43.48
9.074,8.262,11.102,288.192,9.583,7.388,1.777,28.779,75.376,57.2
5.881,5.461,4.168,780.393,7.611,12.071,1.408,33.976,80.528,54.27
5.312,10.479,4.693,1253.794,1.801,12.166,4.204,29.05,69.645,60.76
5.454,9.48,5.137,1012.818,2.298,7.364,0.251,31.622,85.055,67.06
5.082,11.993,9.729,540.633,5.526,18.099,1.983,27.076,89.933,52.69
5.425,10.002,1.374,1406.508,5.064,10.114,1.85,28.534,79.986,62.19
8.074,6.589,10.005,1372.701,9.051,9.349,1.424,22.126,80.187,52.79
5.32,9.749,12.842,353.555,7.178,19.951,4.559,32.954,70.56,46.54
6.435,4.58,12.134,107.155,4.964,9.921,3.755,30.276,73.856,55.2
8.802,4.982,9.631,1124.898,2.464,3.65,0.32,30.785,72.486,62.51
5.105,11.257,20.995,1250.035,3.109,10.31,3.573,26.171,81.969,48.7
8.665,6.803,3.719,1453.404,7.118,16.299,2.636,16.224,83.348,51.8
6.268,11.379,12.692,1340.263,5.37,15.56,4.504,8.962,95.519,50.88
5.532,11.691,1.645,920.775,6.422,15.793,1.565,33.263,70.124,57.33
8.135,12.148,1.872,818.576,2.463,14.19,2.871,23.825,85.396,77.05
7.83,12.916,14.389,90.37,8.123,5.159,2.504,16.05,83.268,64.9
8.949,6.603,14.194,407.652,10.304,17.255,2.448,12.027,82.971,44.55
8.308,5.145,21.963,716.441,3.466,17.88,2.281,30.397,93.322,45.48
8.616,8.569,13.991,961.331,6.152,3.964,1.028,30.586,73.961,62.39
6.269,5.825,23.999,858.015,11.719,2.696,3.779,29.992,69.182,43.21
5.798,8.814,1.313,1126.822,4.332,19.515,2.257,25.417,87.496,62.38
8.378,10.173,2.54,455.662,7.343,17.38,4.793,17.882,78.01,63.88
8.631,9.949,1.197,869.181,1.537,17.875,1.304,16.21,68.51,74.3
9.457,5.869,4.713,177.806,7.469,17.739,3.414,8.231,75.29,49.8
6.857,3.169,13.578,649.815,1.531,10.88,4.704,30.507,76.97,54.31
6.674,6.597,16.175,1137.733,11.531,12.963,3.317,10.361,85.888,41.23
8.494,2.854,1.235,1055.431,8.73,10.953,4.356,25.03,73.005,46.84
6.534,12.571,23.655,1486.432,9.564,1.119,4.137,21.61,79.979,47.79
9.188,5.496,21.07,452.942,8.597,14.936,1.801,22.221,81.992,38.8
8.863,3.008,7.486,772.374,7.282,10.156,3.001,33.021,81.318,47.18
6.93,1.331,2.022,527.819,5.674,12.989,0.781,8.854,96.244,58.72
8.379,9.396,4.33,688.875,10.371,10.103,2.678,28.882,69.32,63.13
8.395,9.28,3.261,1292.578,11.504,9.887,1.152,9.405,95.578,60.37
5.464,5.428,3.17,1042.103,6.239,3.519,3.719,9.03,84.876,49.53
9.061,1.932,13.012,1329.54,11.213,5.646,2.64,19.605,91.076,36.29
7.274,6.325,6.222,345.091,7.208,3.261,2.056,9.703,80.481,66.7
8.719,5.046,9.018,1316.374,6.691,3.994,1.344,29.307,81.161,52.67
6.44,9.803,24.739,136.655,5.727,19.462,4.993,22.298,93.5,49.6
9.03,8.875,17.139,1338.469,2.907,3.147,0.359,8.784,93.982,63.01
6.751,5.74,23.73,527.157,0.543,5.458,0.218,9.094,74.922,61.38
5.049,3.833,3.65,506.152,3.277,11.853,1.086,24.542,73.778,53.52
9.074,13.844,9.615,792.528,6.362,12.243,4.855,29.765,82.391,53.96
5.411,6.902,13.913,1414.001,4.87,3.164,4.896,19.821,94.108,45.05
6.437,9.948,2.011,119.283,5.658,15.895,3.275,22.974,77.348,71.0
9.275,2.827,0.204,560.735,11.777,15.726,4.401,29.595,86.908,42.93
9.278,7.313,16.794,1292.029,4.528,4.823,1.07,24.484,88.536,52.25
7.58,1.358,16.081,624.279,5.7,5.844,4.86,14.069,90.582,42.96
7.843,7.571,10.329,338.778,2.035,18.766,0.714,24.552,84.354,70.27
7.018,13.532,12.292,665.952,1.052,16.531,0.506,24.964,79.671,71.3
6.319,5.995,10.445,609.051,9.417,13.986,0.561,27.821,96.043,54.24
6.479,1.507,0.698,1377.353,7.063,1.736,2.866,24.764,85.729,48.76
8.026,1.402,8.451,1154.805,9.248,8.423,3.905,34.17,89.128,35.59
8.386,6.044,4.509,782.418,2.223,11.23,1.833,13.327,78.005,65.95
8.562,3.08,2.551,1483.137,7.076,3.829,4.889,33.679,87.429,46.8
8.553,1.304,23.922,724.652,3.417,9.02,2.172,22.535,75.476,41.74
5.41,10.831,15.024,134.445,3.123,12.06,0.752,26.143,75.108,65.79
7.225,6.961,18.244,430.298,0.633,6.615,2.33,10.685,88.727,66.69
5.259,4.76,7.953,682.302,1.999,15.641,3.395,18.276,83.12,54.58
7.473,12.701,9.889,277.509,4.057,16.825,4.161,28.773,87.815,68.86
6.987,2.51,5.999,1423.969,1.844,6.54,2.294,27.087,75.814,58.85
8.995,13.427,2.514,1161.931,11.837,16.789,2.968,9.084,85.363,52.71
6.579,5.082,4.558,439.016,4.049,2.161,1.337,22.758,80.874,65.09
5.527,12.549,19.958,906.667,1.999,16.771,3.23,10.384,85.312,48.88
5.643,8.838,16.971,1096.101,2.789,3.14,4.93,34.888,76.436,49.69
8.427,11.747,13.719,1414.854,7.259,1.75,0.245,32.227,88.748,63.17
7.782,13.792,11.93,1328.371,1.237,12.871,4.433,8.569,91.372,64.64
5.455,4.749,23.069,797.029,10.418,9.492,2.811,31.184,75.538,30.41
5.378,13.495,1.911,1173.246,11.557,18.167,1.26,32.825,76.718,54.77
8.154,6.063,7.087,865.11,3.338,7.327,4.774,17.546,87.173,61.21
5.327,6.012,8.813,851.421,5.676,5.814,2.417,27.427,88.172,52.68
8.698,5.425,19.582,216.376,0.755,10.065,1.658,19.937,88.419,61.25
8.178,8.038,24.814,232.9,7.868,9.173,0.907,25.691,87.798,54.33
5.366,3.004,6.093,817.824,5.26,6.954,1.222,17.189,79.391,47.68
5.382,8.198,21.87,439.849,3.606,13.905,4.164,16.709,79.451,48.66
9.44,8.042,20.783,80.504,2.879,15.215,3.072,19.46,75.39,55.1
6.684,10.905,5.694,1098.117,8.021,17.074,4.566,11.93,72.548,54.24
6.668,11.837,10.043,97.106,5.286,19.46,1.16,30.441,88.085,71.45
8.658,6.726,10.301,913.151,2.566,5.406,0.606,17.415,70.702,64.52
9.263,4.93,24.458,831.831,8.425,14.35,0.03,18.804,95.196,33.58
9.437,4.371,4.604,1454.781,6.998,7.946,2.539,32.139,91.974,45.83
8.39,3.53,19.999,752.109,10.375,13.574,4.992,21.409,92.868,30.76
6.693,1.749,8.421,142.222,1.851,9.572,3.475,22.695,94.293,58.59
5.376,5.452,18.299,849.948,9.535,19.876,1.542,33.825,79.85,32.94
8.497,4.513,10.558,1269.589,8.245,14.605,4.384,31.942,92.554,37.04
7.513,13.563,14.501,1495.431,1.823,19.055,3.909,12.576,72.584,64.27
6.909,8.25,20.832,673.998,8.49,16.716,0.077,20.777,68.628,49.43
9.079,5.515,20.124,514.433,5.578,18.068,4.084,34.225,90.762,38.48
5.5,8.546,21.674,1364.647,11.367,16.307,1.503,18.054,70.169,37.95
7.217,2.81,1.584,327.301,2.129,9.237,0.748,18.032,96.667,68.99
5.051,6.773,17.332,942.372,7.893,5.111,1.132,13.266,87.569,41.68
7.109,9.141,3.586,638.286,4.893,7.469,2.343,11.087,89.85,75.63
5.253,7.356,10.454,109.569,11.503,0.503,2.124,27.988,75.128,58.82
5.535,6.223,13.76,553.568,4.295,10.527,1.444,28.791,87.542,55.08
5.529,13.92,10.128,434.581,11.565,10.151,0.861,34.163,69.253,56.67
7.921,12.444,13.038,1044.832,10.867,10.552,3.811,28.882,92.297,54.87
8.357,9.104,24.914,1425.746,3.609,19.483,4.951,14.571,72.919,45.59
7.625,8.402,3.467,438.668,9.741,18.238,3.889,9.083,88.223,62.44
9.33,9.069,16.919,1226.626,11.949,3.318,1.48,34.607,74.51,50.82
6.687,3.617,9.96,130.272,3.406,7.441,1.224,17.192,69.985,61.74
6.286,6.137,3.412,830.275,5.523,8.537,1.088,16.423,81.963,62.63
8.909,1.513,4.053,152.298,6.482,7.275,0.683,32.461,72.909,54.63
6.006,7.182,23.737,1404.348,3.892,15.99,2.757,23.798,89.154,39.77
9.335,8.059,22.002,1161.209,0.676,10.528,3.027,13.802,74.889,52.56
5.055,3.961,22.685,1004.027,3.031,11.485,3.528,32.006,77.932,34.66
9.364,13.532,24.789,1244.65,3.742,17.075,3.401,34.821,84.456,40.64
5.194,12.823,5.287,988.904,5.601,16.138,1.462,10.34,76.264,57.22
9.01,10.388,8.95,1454.969,2.468,2.731,1.652,31.281,78.962,65.98
7.375,7.934,16.764,1085.239,10.542,14.307,3.408,18.544,91.653,49.72
9.468,12.31,12.147,1390.755,8.606,8.765,1.747,22.15,73.197,46.5
5.332,2.698,10.518,799.841,1.48,5.964,1.063,32.7,70.384,51.62
7.492,11.277,9.01,219.743,7.976,1.095,1.872,34.281,77.522,74.35
9.362,2.623,14.885,815.858,8.017,9.796,1.36,15.078,80.307,35.9
7.354,11.325,14.432,233.966,11.497,7.173,0.442,13.747,83.737,68.19
7.832,4.585,4.12,909.116,0.535,5.105,4.151,10.174,78.8,65.72
8.131,12.402,11.846,749.615,3.351,13.924,4.266,23.169,90.907,65.44
7.045,13.273,13.881,952.734,11.17,15.413,1.099,8.367,69.14,56.11
7.824,2.934,14.3,64.568,11.22,4.971,0.324,19.121,80.521,55.98
7.629,7.015,5.332,332.519,8.787,1.084,3.694,9.981,79.085,68.37
9.055,13.753,18.583,762.429,9.306,16.99,1.058,18.941,86.78,46.97
5.205,7.284,0.727,1428.23,1.552,0.298,1.967,9.078,96.022,65.94
6.264,12.226,8.935,606.233,6.41,18.749,0.321,30.551,82.801,61.3
9.277,8.654,19.527,665.339,3.163,12.59,1.131,13.663,96.619,58.38
9.006,5.879,14.141,1086.309,2.584,6.505,3.965,16.864,76.765,53.71
7.05,4.715,6.603,925.499,9.818,5.005,4.022,31.491,68.895,50.85
7.791,3.642,17.404,483.443,2.053,0.279,1.035,28.149,72.804,58.29
6.248,10.903,14.228,645.684,5.889,4.786,1.68,13.914,79.459,61.88
5.847,6.025,19.926,365.665,11.294,2.841,0.671,9.941,77.174,47.91
7.087,7.647,18.402,1450.731,2.637,12.282,0.371,27.323,70.815,58.0
6.59,7.4,15.292,239.42,11.747,3.414,4.961,18.549,80.547,54.67
7.626,8.505,12.256,589.163,11.934,10.62,3.278,28.684,77.805,60.34
5.35,12.253,3.416,87.467,6.89,11.843,2.71,20.023,71.556,65.79
9.385,13.75,6.607,371.58,2.457,6.031,3.827,17.342,76.587,70.64
9.438,6.299,10.536,1181.683,4.135,0.798,4.2,20.183,93.707,49.56
8.142,11.758,15.023,341.704,5.382,0.841,4.034,28.211,76.759,66.04
7.412,10.939,12.891,166.092,4.057,0.624,0.083,32.36,88.705,83.93
6.393,8.456,7.276,737.957,3.727,14.809,0.934,9.344,85.749,66.97
8.662,13.429,0.261,64.455,11.681,6.428,3.275,22.151,80.388,71.74
8.081,3.606,12.456,172.911,2.264,15.946,1.879,8.887,74.932,58.93
5.732,2.42,7.212,1221.058,8.933,8.691,4.912,20.647,78.701,34.38
9.099,12.102,18.392,1168.636,0.505,9.115,3.327,31.903,85.171,54.64
8.701,6.709,0.696,1376.951,7.356,10.306,4.783,17.763,78.172,52.42
9.274,12.011,14.662,1289.047,11.033,14.289,1.007,33.176,74.232,46.01
8.266,12.61,23.543,1040.605,3.811,5.543,4.32,25.026,71.377,56.6
7.76,1.812,4.443,125.883,2.634,2.52,1.607,33.222,93.513,68.75
6.882,12.485,11.844,1185.13,7.994,11.166,4.948,28.443,80.769,49.09
9.197,6.828,2.376,1275.991,8.695,6.607,0.788,10.793,86.131,55.67
8.897,7.636,15.679,1208.669,8.412,8.906,2.582,14.241,82.222,43.43
5.203,9.146,13.808,787.295,4.172,12.974,3.964,18.643,93.304,50.32
5.119,13.043,10.243,387.708,3.4,9.933,2.163,12.593,83.861,61.93
6.694,1.249,13.082,1275.728,11.493,12.444,2.34,21.363,81.943,33.15
8.647,7.199,22.425,1104.386,11.118,10.93,4.932,20.727,94.813,37.99
9.443,9.94,4.988,1472.104,5.759,14.822,2.127,33.819,88.871,56.51
5.677,10.395,0.662,275.754,10.231,14.148,3.02,19.711,71.235,63.47
7.674,10.003,21.555,377.214,5.702,10.73,0.273,29.212,73.153,63.97
6.714,2.748,14.47,357.107,5.38,13.61,4.211,33.432,90.827,44.58
9.365,4.892,22.277,1199.183,2.303,17.484,3.241,31.679,92.24,37.69
8.79,5.663,14.964,321.016,5.404,8.702,2.02,13.634,83.811,50.61
8.772,11.458,20.273,146.657,6.68,8.314,0.081,21.393,84.079,60.48
7.109,4.624,10.799,1497.913,0.759,15.308,2.958,17.389,86.326,54.07
6.867,3.739,18.772,85.985,5.607,11.693,0.063,18.796,80.734,54.34
6.23,13.447,22.835,1261.104,9.486,1.513,0.006,17.742,87.726,50.01
5.254,1.115,14.346,579.782,8.321,17.853,3.08,30.312,71.146,26.37
8.891,13.972,4.602,1270.342,7.804,0.713,0.945,20.208,95.877,61.58
8.658,9.799,6.793,854.2,10.96,14.993,0.959,22.14,89.754,60.26
9.499,11.77,5.046,1357.365,0.707,15.2,3.266,34.526,86.304,63.72
9.485,4.83,6.247,1392.98,6.906,19.067,0.268,9.619,77.173,44.73
7.499,1.186,7.73,63.192,9.555,1.177,1.567,21.175,72.668,55.52
8.46,10.592,13.923,159.348,6.725,11.977,0.747,28.9,79.871,62.98
9.251,11.844,14.741,413.02,4.225,8.614,2.901,12.081,87.186,60.93
8.823,10.626,10.72,1020.507,2.067,6.68,3.309,24.511,86.378,64.34
6.113,2.857,15.424,1337.995,10.707,1.897,3.606,14.466,79.097,35.18
7.027,10.795,2.131,716.916,5.914,11.297,1.276,31.42,85.785,69.48
5.581,10.996,2.286,930.111,10.598,9.633,0.446,16.832,91.599,60.53
9.293,9.561,4.379,323.325,7.237,2.181,0.393,16.885,68.762,73.37
7.728,10.96,13.0,1217.202,8.253,12.289,2.131,24.151,81.068,55.92
6.029,11.997,5.428,1452.626,9.749,14.785,4.729,12.956,89.998,49.78
8.023,8.977,7.154,439.468,8.08,15.369,1.089,15.692,83.838,67.73
7.782,2.152,10.068,767.498,5.078,18.117,1.284,19.249,86.893,45.46
6.612,7.339,20.315,174.868,6.407,8.248,0.504,17.548,82.984,56.44
5.511,2.009,0.445,860.748,9.735,19.066,3.028,22.172,96.764,38.23
8.022,6.298,16.27,779.036,4.797,17.322,3.399,24.19,69.584,51.51
7.341,6.292,16.755,259.433,4.963,6.0,3.215,23.3,82.24,62.19
8.475,1.858,19.987,690.996,1.6,3.27,4.306,25.663,70.651,44.53
7.341,5.535,23.326,534.452,11.018,8.764,2.432,16.309,72.634,47.61
8.835,2.443,0.601,806.655,1.547,8.098,0.672,11.414,79.108,62.48
7.484,11.507,3.929,899.199,7.954,11.557,1.447,28.542,72.511,69.87
7.524,13.32,22.166,62.319,5.252,11.709,3.312,30.971,95.947,60.57
8.945,1.94,11.517,1153.459,5.165,15.025,3.066,14.939,95.457,36.33
6.816,13.416,14.158,1083.871,8.315,10.247,2.655,18.991,77.747,52.5
5.603,7.793,16.609,581.115,1.272,2.186,3.415,21.461,86.553,63.14
5.13,4.894,17.009,126.757,7.328,17.18,3.187,22.4,83.479,37.17
8.398,1.999,23.3,1144.652,9.378,6.264,4.407,25.806,91.652,27.35
7.791,7.508,24.924,1435.004,10.024,19.429,2.93,9.123,86.196,40.37
8.168,11.329,18.032,398.22,2.461,2.445,3.893,27.48,68.007,69.03
5.958,10.192,7.252,519.111,10.82,19.169,1.244,9.673,90.132,59.25
5.614,1.653,22.006,316.529,8.046,1.911,3.391,20.644,89.659,32.78
5.065,1.948,1.326,886.557,10.641,4.698,4.511,30.347,82.782,38.58
6.578,6.237,5.854,274.52,6.081,1.027,1.929,20.183,94.185,67.28
7.655,4.839,22.445,566.481,6.733,14.132,3.896,12.025,94.345,42.49
6.765,4.021,6.479,1060.669,11.069,17.021,3.624,34.596,83.193,43.02
6.969,4.653,5.594,862.168,10.849,8.738,0.298,32.011,85.632,55.74
9.069,11.445,3.539,610.371,5.654,18.578,2.908,28.825,96.899,62.59
6.567,13.08,21.492,659.362,3.656,11.847,0.651,19.111,76.666,57.6
7.313,6.266,12.551,865.061,5.021,12.637,4.837,12.964,77.414,54.67
8.526,12.779,16.905,58.504,4.959,16.924,4.057,33.418,73.3,58.77
6.784,5.179,6.053,163.839,3.799,6.006,0.549,22.373,93.98,72.16
7.799,7.194,18.975,1327.824,3.589,7.15,0.609,31.014,89.59,57.8
8.881,3.938,19.024,162.925,10.402,18.128,2.972,17.237,71.064,34.55
9.273,9.326,7.884,1074.865,1.303,18.029,1.724,17.053,96.471,63.25
5.662,13.727,10.326,1384.055,8.293,19.532,0.175,34.61,89.198,48.97
9.17,8.845,5.321,442.491,2.487,18.047,2.708,22.089,92.665,68.45
7.215,5.652,24.416,587.213,4.462,2.635,1.939,11.799,69.396,52.84
6.162,9.422,16.176,874.936,1.208,16.492,0.505,13.931,82.644,62.87
7.066,2.598,23.37,1328.478,3.605,8.256,4.01,21.012,88.259,38.82
9.41,12.553,7.654,1415.763,9.337,19.817,4.575,9.147,83.745,43.85
7.217,7.54,19.569,1122.367,10.678,9.498,3.783,20.488,87.333,45.66
6.479,6.842,19.17,175.599,3.048,11.121,4.112,19.311,91.718,55.4
7.85,8.616,17.322,1020.274,5.831,10.643,1.082,29.042,78.856,57.09
6.081,9.122,24.144,644.94,5.909,6.503,1.318,17.583,92.611,53.93
5.341,1.933,9.9,732.516,10.546,1.593,1.043,34.529,72.725,40.12
5.58,9.874,3.355,121.265,9.272,17.923,3.825,12.881,75.856,59.78
5.576,4.145,16.826,327.04,6.4,16.073,4.74,23.957,69.257,35.59
5.684,10.281,18.26,1196.245,8.214,2.877,3.584,10.422,78.568,44.42
5.625,11.693,14.419,708.24,10.245,15.558,4.407,27.814,79.017,47.69
7.884,11.451,5.25,487.41,0.61,12.554,3.193,34.858,91.353,80.18
5.818,8.183,12.661,606.828,5.133,8.242,1.938,30.117,86.941,55.98
6.556,7.762,7.874,1288.879,10.933,5.155,2.129,23.004,80.665,54.17
9.036,2.857,10.744,1136.049,9.014,17.209,0.377,21.088,86.911,36.68
7.133,11.079,16.166,444.857,6.743,14.034,0.157,30.546,69.531,63.3
8.004,4.528,18.656,220.378,6.591,11.0,3.477,33.271,73.228,45.72
5.775,7.457,5.882,415.397,4.499,12.23,2.192,34.709,86.181,64.43
5.865,4.696,10.193,1385.097,6.486,1.912,2.761,18.707,86.6,47.71
5.184,2.74,6.802,893.304,8.037,9.531,2.788,34.755,90.45,38.57
5.76,9.184,5.046,823.546,5.311,3.955,1.387,12.21,79.687,69.66
6.254,1.706,19.606,914.771,8.713,4.247,2.379,14.846,88.954,33.41
5.797,10.732,22.74,580.741,10.404,13.26,2.354,10.403,87.835,45.25
5.399,5.129,9.319,1220.305,2.279,18.234,1.942,15.337,95.938,50.51
5.543,1.002,18.807,808.765,5.693,8.135,4.103,28.734,74.239,31.09
7.074,7.645,22.435,219.284,5.192,4.234,2.256,31.029,83.999,59.21
5.929,1.609,21.168,237.144,8.406,13.01,3.018,29.03,85.451,30.87
6.639,4.59,4.652,828.446,3.373,17.437,4.478,25.039,96.961,53.47
7.265,10.191,23.912,1408.027,7.863,14.992,4.331,21.877,73.834,44.17
8.107,1.815,9.479,497.111,10.591,17.388,4.452,27.135,83.173,39.59
5.177,11.911,8.547,1310.835,5.309,10.777,1.35,18.553,78.039,52.77
8.597,1.05,1.655,1157.939,10.977,15.062,0.175,30.715,83.251,42.19
7.826,4.209,12.206,409.328,11.921,2.887,1.305,26.284,74.732,55.98
5.368,10.632,2.814,102.694,1.72,7.031,1.394,26.841,69.381,77.56
8.931,5.112,6.289,197.679,3.18,7.852,4.547,22.47,84.604,61.55
9.144,2.325,7.992,1106.316,11.429,10.275,3.246,31.901,77.74,37.21
5.275,5.683,20.24,339.521,11.521,18.589,0.409,14.804,73.276,38.3
6.246,4.515,21.9,588.343,1.624,17.499,0.677,18.291,77.394,49.08
8.628,11.955,7.631,777.464,0.672,2.777,0.778,28.996,69.429,80.8
8.367,5.074,21.482,1101.929,2.353,3.539,3.152,21.304,95.563,50.49
5.83,11.256,21.445,214.185,11.954,7.217,3.677,32.009,84.853,49.66
5.942,12.594,19.14,639.231,2.57,5.886,4.298,17.353,91.628,57.09
6.667,6.64,3.753,753.356,6.279,12.334,4.703,17.972,80.27,58.44
7.18,12.829,17.289,834.199,10.257,18.065,1.009,31.996,94.196,54.21
7.782,5.905,23.631,1236.623,0.735,19.25,1.549,20.538,82.016,53.82
6.66,13.533,17.095,298.933,7.452,13.107,1.202,21.935,84.644,58.65
7.081,2.161,8.357,1221.356,3.686,16.779,1.794,16.985,82.262,45.13
8.364,9.931,12.564,1054.674,10.417,10.552,4.573,15.47,89.265,48.45
5.165,7.42,16.179,856.013,3.76,4.246,2.876,25.711,84.433,53.0
6.136,6.039,12.813,1064.315,8.398,10.541,3.691,11.236,75.876,41.22
8.21,9.225,3.087,647.426,8.254,11.146,2.451,31.74,72.221,66.19
9.028,10.15,7.87,250.676,3.047,14.875,0.144,29.038,85.578,71.72
7.303,1.057,20.08,1015.36,0.9,4.476,0.321,13.15,82.186,51.11
7.395,3.17,21.549,810.775,5.206,7.429,2.69,26.739,70.783,44.76
5.482,10.27,3.519,977.093,3.826,7.344,3.594,24.271,79.473,62.9
7.013,9.663,23.814,540.098,9.803,19.193,1.077,12.982,82.929,51.12
7.397,13.559,8.288,1364.957,9.704,8.935,3.61,15.376,91.98,57.55
6.091,10.893,16.592,901.686,5.756,15.126,4.053,19.043,70.207,48.85
6.212,13.36,18.82,173.834,7.475,15.041,2.059,26.88,78.106,53.28
6.698,10.133,20.317,702.216,7.449,5.384,3.732,25.246,91.857,52.76
5.09,4.875,23.649,1146.716,10.012,11.48,2.02,22.37,86.804,29.02
6.449,2.37,7.892,1201.495,5.388,17.897,3.392,28.747,76.409,40.24
5.952,11.164,21.477,767.166,3.668,9.556,3.82,28.464,92.515,54.12
6.474,9.374,3.379,1347.384,3.548,18.908,4.96,24.682,82.306,63.11
5.539,1.626,17.656,438.119,6.666,4.368,1.727,29.249,82.452,39.49
9.007,5.681,18.575,645.368,5.665,1.576,2.055,17.025,96.321,51.37
7.671,13.438,16.975,1352.966,5.561,17.84,0.828,31.794,95.466,56.71
8.056,7.505,6.383,1349.572,1.548,16.969,1.02,24.603,78.397,67.3
8.551,6.625,21.839,1044.284,8.764,19.853,3.467,30.204,72.077,35.41
7.243,6.95,4.305,1295.522,2.958,13.62,4.585,22.75,77.444,63.28
5.391,3.715,1.436,178.721,2.765,18.74,1.973,13.898,68.884,59.44
7.417,5.793,17.965,1304.243,5.247,16.556,0.899,22.645,68.602,47.86
7.641,5.808,11.939,514.899,3.119,16.904,1.425,18.02,79.47,63.69
8.354,1.681,21.243,308.581,7.214,11.426,2.275,26.832,95.29,37.0
6.942,10.978,9.647,397.086,4.772,7.709,1.453,20.846,93.269,72.14
5.574,6.415,4.29,656.054,5.662,18.698,1.168,30.575,82.832,55.03
6.277,11.688,20.927,414.228,6.677,8.699,3.68,26.308,84.392,52.92
6.634,12.055,13.768,514.823,2.841,10.823,0.039,26.483,68.172,71.93
7.907,3.756,4.811,245.719,2.291,8.978,2.696,13.863,74.25,68.72
7.569,9.546,18.038,479.456,10.625,11.34,3.969,34.575,68.718,56.14
6.602,7.14,12.827,879.812,5.488,9.463,1.331,30.725,89.882,58.38
9.439,12.442,15.147,690.688,5.239,1.055,3.016,29.303,72.224,60.66
7.726,3.805,11.576,552.742,0.91,17.653,3.345,16.916,93.202,58.13
6.068,9.812,20.735,1132.356,6.227,8.943,3.275,22.462,86.656,45.62
5.458,8.901,20.756,1345.589,6.873,11.82,2.229,11.702,74.653,43.3
5.688,4.839,17.764,1147.344,6.927,2.87,1.733,22.539,72.574,40.42
6.107,2.776,2.724,531.401,8.631,0.167,4.18,11.939,86.201,49.73
5.723,9.471,20.987,1129.441,2.541,4.981,3.792,22.932,94.124,50.51
5.84,10.602,16.808,270.371,3.401,14.121,1.606,25.515,88.832,62.03
6.283,5.103,17.456,238.961,9.823,2.074,0.515,18.535,78.108,49.46
5.78,9.383,9.138,551.159,11.392,18.187,0.359,21.461,85.034,55.36
9.035,6.137,21.994,1221.168,2.063,4.379,0.471,31.643,77.012,52.4
5.361,10.272,18.162,407.205,6.223,4.171,2.914,10.931,96.975,55.54
7.36,3.59,2.904,141.717,2.963,3.712,0.258,29.377,89.716,74.45
6.847,12.573,10.254,240.979,1.191,0.378,1.685,12.61,85.817,82.02
9.421,4.736,22.171,1295.18,4.243,15.459,3.766,8.991,80.275,30.3
5.504,5.781,1.275,968.986,2.152,17.513,1.472,13.011,85.926,58.87
6.79,1.755,24.039,417.142,8.664,12.322,3.817,28.656,77.907,31.9
9.363,2.45,17.011,855.179,6.638,3.845,3.727,18.938,68.837,34.63
8.895,7.706,15.821,814.99,2.154,5.777,1.229,31.558,79.458,62.0
8.677,4.479,6.837,1000.382,0.606,9.571,3.644,22.167,94.984,56.83
6.161,11.861,6.295,388.122,9.794,19.091,3.739,8.601,86.163,58.96
5.769,1.191,23.557,1303.384,2.526,5.022,1.987,27.351,70.435,35.25
8.009,5.928,7.527,498.584,7.471,14.66,1.052,10.976,93.665,59.35
9.182,5.385,19.41,1056.491,4.375,8.845,2.606,29.313,75.797,45.01
7.505,1.251,9.889,73.381,7.233,6.027,4.607,12.539,75.069,49.2
7.572,2.617,3.567,590.353,4.13,9.173,3.198,17.327,76.616,59.91
6.26,6.377,0.367,559.979,1.5,1.517,0.865,28.554,84.739,75.38
8.463,7.407,13.652,838.052,3.064,15.994,3.414,33.764,83.796,60.49
